Team,Date,Home_Away,Opp,W/L,W-L,Date_Clean
BAL,"Friday, Aug 10",Home,BOS,L,35-81,Aug 10 2018
BAL,"Saturday, Aug 11 (1)",Home,BOS,L,35-82,Aug 11  2018
BAL,"Saturday, Aug 11 (2)",Home,BOS,L,35-83,Aug 11  2018
BAL,"Sunday, Aug 12",Home,BOS,L,35-84,Aug 12 2018
BAL,"Tuesday, Aug 14",Home,NYM,W,36-84,Aug 14 2018
BAL,"Wednesday, Aug 15",Home,NYM,L,36-85,Aug 15 2018
BAL,"Friday, Aug 17",@,CLE,L,36-86,Aug 17 2018
BAL,"Saturday, Aug 18",@,CLE,W,37-86,Aug 18 2018
BAL,"Sunday, Aug 19",@,CLE,L,37-87,Aug 19 2018
BAL,"Monday, Aug 20",@,TOR,L,37-88,Aug 20 2018
BAL,"Tuesday, Aug 21",@,TOR,L,37-89,Aug 21 2018
BAL,"Wednesday, Aug 22",@,TOR,L,37-90,Aug 22 2018
BAL,"Friday, Aug 24",Home,NYY,L,37-91,Aug 24 2018
BAL,"Saturday, Aug 25 (1)",Home,NYY,L,37-92,Aug 25  2018
BAL,"Saturday, Aug 25 (2)",Home,NYY,L,37-93,Aug 25  2018
BAL,"Sunday, Aug 26",Home,NYY,L,37-94,Aug 26 2018
BAL,"Monday, Aug 27",Home,TOR,W,38-94,Aug 27 2018
BAL,"Tuesday, Aug 28",Home,TOR,W,39-94,Aug 28 2018
BAL,"Wednesday, Aug 29",Home,TOR,W,40-94,Aug 29 2018
BAL,"Friday, Aug 31",@,KCR,L,40-95,Aug 31 2018
BAL,"Saturday, Sep 1",@,KCR,L-wo,40-96,Sep 1 2018
BAL,"Sunday, Sep 2",@,KCR,L,40-97,Sep 2 2018
BAL,"Monday, Sep 3",@,SEA,L,40-98,Sep 3 2018
BAL,"Tuesday, Sep 4",@,SEA,W,41-98,Sep 4 2018
BAL,"Wednesday, Sep 5",@,SEA,L,41-99,Sep 5 2018
BAL,"Friday, Sep 7",@,TBR,L,41-100,Sep 7 2018
BAL,"Saturday, Sep 8",@,TBR,L,41-101,Sep 8 2018
BAL,"Sunday, Sep 9",@,TBR,L,41-102,Sep 9 2018
BAL,"Tuesday, Sep 11",Home,OAK,L,41-103,Sep 11 2018
BAL,"Wednesday, Sep 12",Home,OAK,L,41-104,Sep 12 2018
BAL,"Thursday, Sep 13",Home,OAK,W,42-104,Sep 13 2018
BAL,"Friday, Sep 14",Home,CHW,L,42-105,Sep 14 2018
BAL,"Saturday, Sep 15",Home,CHW,L,42-106,Sep 15 2018
BAL,"Sunday, Sep 16",Home,CHW,W,43-106,Sep 16 2018
BAL,"Monday, Sep 17",Home,TOR,L,43-107,Sep 17 2018
BAL,"Tuesday, Sep 18",Home,TOR,L,43-108,Sep 18 2018
BAL,"Wednesday, Sep 19",Home,TOR,W,44-108,Sep 19 2018
BAL,"Friday, Sep 21",@,NYY,L,44-109,Sep 21 2018
BAL,"Saturday, Sep 22",@,NYY,L-wo,44-110,Sep 22 2018
BAL,"Sunday, Sep 23",@,NYY,W,45-110,Sep 23 2018
BAL,"Monday, Sep 24",@,BOS,L,45-111,Sep 24 2018
BAL,"Wednesday, Sep 26 (1)",@,BOS,L,45-112,Sep 26  2018
BAL,"Wednesday, Sep 26 (2)",@,BOS,W,46-112,Sep 26  2018
BAL,"Friday, Sep 28",Home,HOU,L,46-113,Sep 28 2018
BAL,"Saturday, Sep 29 (1)",Home,HOU,L,46-114,Sep 29  2018
BAL,"Saturday, Sep 29 (2)",Home,HOU,L,46-115,Sep 29  2018
BOS,"Thursday, Mar 29",@,TBR,L,0-1,Mar 29 2018
BOS,"Friday, Mar 30",@,TBR,W,1-1,Mar 30 2018
BOS,"Saturday, Mar 31",@,TBR,W,2-1,Mar 31 2018
BOS,"Sunday, Apr 1",@,TBR,W,3-1,Apr 1 2018
BOS,"Monday, Apr 2",@,MIA,W,4-1,Apr 2 2018
BOS,"Tuesday, Apr 3",@,MIA,W,5-1,Apr 3 2018
BOS,"Thursday, Apr 5",Home,TBR,W-wo,6-1,Apr 5 2018
BOS,"Saturday, Apr 7",Home,TBR,W,7-1,Apr 7 2018
BOS,"Sunday, Apr 8",Home,TBR,W,8-1,Apr 8 2018
BOS,"Tuesday, Apr 10",Home,NYY,W,9-1,Apr 10 2018
BOS,"Wednesday, Apr 11",Home,NYY,L,9-2,Apr 11 2018
BOS,"Thursday, Apr 12",Home,NYY,W,10-2,Apr 12 2018
BOS,"Friday, Apr 13",Home,BAL,W,11-2,Apr 13 2018
BOS,"Saturday, Apr 14",Home,BAL,W,12-2,Apr 14 2018
BOS,"Sunday, Apr 15",Home,BAL,W,13-2,Apr 15 2018
BOS,"Tuesday, Apr 17",@,LAA,W,14-2,Apr 17 2018
BOS,"Wednesday, Apr 18",@,LAA,W,15-2,Apr 18 2018
BOS,"Thursday, Apr 19",@,LAA,W,16-2,Apr 19 2018
BOS,"Friday, Apr 20",@,OAK,W,17-2,Apr 20 2018
BOS,"Saturday, Apr 21",@,OAK,L,17-3,Apr 21 2018
BOS,"Sunday, Apr 22",@,OAK,L,17-4,Apr 22 2018
BOS,"Tuesday, Apr 24",@,TOR,L-wo,17-5,Apr 24 2018
BOS,"Wednesday, Apr 25",@,TOR,W,18-5,Apr 25 2018
BOS,"Thursday, Apr 26",@,TOR,W,19-5,Apr 26 2018
BOS,"Friday, Apr 27",Home,TBR,L,19-6,Apr 27 2018
BOS,"Saturday, Apr 28",Home,TBR,L,19-7,Apr 28 2018
BOS,"Sunday, Apr 29",Home,TBR,W,20-7,Apr 29 2018
BOS,"Monday, Apr 30",Home,KCR,W,21-7,Apr 30 2018
BOS,"Tuesday, May 1",Home,KCR,L,21-8,May 1 2018
BOS,"Wednesday, May 2",Home,KCR,W,22-8,May 2 2018
BOS,"Thursday, May 3",@,TEX,L,22-9,May 3 2018
BOS,"Friday, May 4",@,TEX,W,23-9,May 4 2018
BOS,"Saturday, May 5",@,TEX,W,24-9,May 5 2018
BOS,"Sunday, May 6",@,TEX,W,25-9,May 6 2018
BOS,"Tuesday, May 8",@,NYY,L,25-10,May 8 2018
BOS,"Wednesday, May 9",@,NYY,L,25-11,May 9 2018
BOS,"Thursday, May 10",@,NYY,W,26-11,May 10 2018
BOS,"Friday, May 11",@,TOR,L-wo,26-12,May 11 2018
BOS,"Saturday, May 12",@,TOR,W,27-12,May 12 2018
BOS,"Sunday, May 13",@,TOR,W,28-12,May 13 2018
BOS,"Monday, May 14",Home,OAK,L,28-13,May 14 2018
BOS,"Tuesday, May 15",Home,OAK,L,28-14,May 15 2018
BOS,"Wednesday, May 16",Home,OAK,W,29-14,May 16 2018
BOS,"Thursday, May 17",Home,BAL,W,30-14,May 17 2018
BOS,"Friday, May 18",Home,BAL,L,30-15,May 18 2018
BOS,"Saturday, May 19",Home,BAL,W,31-15,May 19 2018
BOS,"Sunday, May 20",Home,BAL,W,32-15,May 20 2018
BOS,"Tuesday, May 22",@,TBR,W,33-15,May 22 2018
BOS,"Wednesday, May 23",@,TBR,W,34-15,May 23 2018
BOS,"Thursday, May 24",@,TBR,L,34-16,May 24 2018
BOS,"Friday, May 25",Home,ATL,W,35-16,May 25 2018
BOS,"Saturday, May 26",Home,ATL,W,36-16,May 26 2018
BOS,"Sunday, May 27",Home,ATL,L,36-17,May 27 2018
BOS,"Monday, May 28",Home,TOR,W,37-17,May 28 2018
BOS,"Tuesday, May 29",Home,TOR,W,38-17,May 29 2018
BOS,"Wednesday, May 30",Home,TOR,W,39-17,May 30 2018
BOS,"Thursday, May 31",@,HOU,L,39-18,May 31 2018
BOS,"Friday, Jun 1",@,HOU,L,39-19,Jun 1 2018
BOS,"Saturday, Jun 2",@,HOU,W,40-19,Jun 2 2018
BOS,"Sunday, Jun 3",@,HOU,W,41-19,Jun 3 2018
BOS,"Tuesday, Jun 5",Home,DET,W,42-19,Jun 5 2018
BOS,"Wednesday, Jun 6",Home,DET,W,43-19,Jun 6 2018
BOS,"Thursday, Jun 7",Home,DET,L,43-20,Jun 7 2018
